"gene_accession_id","disease_id"
"MGI:97851","DOID:0060230"
"MGI:97531","DOID:0060230"
"MGI:2140300","DOID:0060230"
"MGI:95523","DOID:0050660"
"MGI:94909","DOID:9883"
"MGI:104564","DOID:5572"
"MGI:98388","DOID:5572"
"MGI:3655814","DOID:5572"
"MGI:1336181","DOID:14264"
"MGI:1309503","DOID:14264"
"MGI:1333744","DOID:2217"
"MGI:107852","DOID:2217"
"MGI:1346332","DOID:0050662"
"MGI:88175","DOID:3633"
"MGI:96020","DOID:12241"
"MGI:7384456","DOID:12241"
"MGI:96021","DOID:12241"
"MGI:1342771","DOID:12241"
"MGI:88459","DOID:0050663"
"MGI:1338783","DOID:0090106"
"MGI:95675","DOID:0112225"
"MGI:2142763","DOID:0050664"
"MGI:107543","DOID:13608"
"MGI:1347001","DOID:856"
"MGI:1931307","DOID:0050659"
"MGI:5428680","DOID:0111079"
"MGI:2442184","DOID:0050676"
"MGI:1330810","DOID:0080174"
"MGI:5439421","DOID:14778"
"MGI:1349428","DOID:14778"
"MGI:1099438","DOID:12305"
"MGI:1338074","DOID:12305"
"MGI:1915751","DOID:2717"
"MGI:1328362","DOID:2717"
"MGI:1097692","DOID:0050679"
"MGI:1918248","DOID:0050681"
"MGI:1352451","DOID:0112226"
"MGI:97930","DOID:0050683"
"MGI:1315195","DOID:0050684"
"MGI:96533","DOID:0110964"
"MGI:95688","DOID:0110977"
"MGI:95688","DOID:0110965"
"MGI:95688","DOID:0110970"
"MGI:1101355","DOID:0090143"
"MGI:88454","DOID:0090125"
"MGI:1276121","DOID:0090126"
"MGI:3039527","DOID:1612"
"MGI:102709","DOID:1612"
"MGI:104537","DOID:1612"
"MGI:3039528","DOID:1612"
"MGI:88192","DOID:1612"
"MGI:5698355","DOID:1612"
"MGI:5524079","DOID:1612"
"MGI:3511876","DOID:1612"
"MGI:5524143","DOID:1612"
"MGI:5526970","DOID:1612"
"MGI:5527315","DOID:1612"
"MGI:104042","DOID:1612"
"MGI:3513809","DOID:1612"
"MGI:2146156","DOID:1612"
"MGI:3761162","DOID:1612"
"MGI:3621177","DOID:1612"
"MGI:5604886","DOID:1612"
"MGI:5604890","DOID:1612"
"MGI:1890060","DOID:1612"
"MGI:1930203","DOID:1612"
"MGI:3614259","DOID:1612"
"MGI:2179991","DOID:1612"
"MGI:98834","DOID:1612"
"MGI:5524078","DOID:1612"
"MGI:3614258","DOID:1612"
"MGI:3836146","DOID:1612"
"MGI:88039","DOID:1612"
"MGI:5524076","DOID:1612"
"MGI:4361015","DOID:1612"
"MGI:95410","DOID:1612"
"MGI:2679594","DOID:1612"
"MGI:103063","DOID:1612"
"MGI:1328361","DOID:1612"
"MGI:4835245","DOID:1612"
"MGI:98953","DOID:1612"
"MGI:4835246","DOID:1612"
"MGI:5637740","DOID:1612"
"MGI:109337","DOID:1612"
"MGI:4835247","DOID:1612"
"MGI:4835248","DOID:1612"
"MGI:4835249","DOID:1612"
"MGI:4835250","DOID:1612"
"MGI:4835251","DOID:1612"
"MGI:1206581","DOID:1612"
"MGI:4835252","DOID:1612"
"MGI:4835253","DOID:1612"
