"omim_id","disease_id"
"OMIM:606764","DOID:9253"
"OMIM:230750","DOID:11044"
"OMIM:230800","DOID:0110957"
"OMIM:230900","DOID:0110958"
"OMIM:231050","DOID:0111725"
"OMIM:600669","DOID:1827"
"OMIM:137440","DOID:4249"
"OMIM:256850","DOID:0090068"
"OMIM:137580","DOID:11119"
"OMIM:263800","DOID:0050450"
"OMIM:273800","DOID:2219"
"OMIM:606777","DOID:0070561"
"OMIM:231670","DOID:0111254"
"OMIM:231690","DOID:0112246"
"OMIM:307030","DOID:0060363"
"OMIM:606664","DOID:0111037"
"OMIM:232200","DOID:2749"
"OMIM:232220","DOID:0081330"
"OMIM:232300","DOID:2752"
"OMIM:232400","DOID:2748"
"OMIM:232500","DOID:2750"
"OMIM:261750","DOID:0111041"
"OMIM:300559","DOID:0111040"
"OMIM:232600","DOID:2746"
"OMIM:232700","DOID:2754"
"OMIM:232800","DOID:11721"
"OMIM:613507","DOID:0050579"
"OMIM:256550","DOID:3343"
"OMIM:272750","DOID:4795"
"OMIM:166260","DOID:0111533"
"OMIM:609460","DOID:0060481"
"OMIM:164210","DOID:2907"
"OMIM:603358","DOID:0111455"
"OMIM:139090","DOID:0111044"
"OMIM:175700","DOID:14761"
"OMIM:214450","DOID:0060832"
"OMIM:607485","DOID:0060672"
"OMIM:612736","DOID:0050799"
"OMIM:139393","DOID:12842"
"OMIM:258870","DOID:1415"
"OMIM:102500","DOID:2736"
"OMIM:140000","DOID:0060739"
"OMIM:234500","DOID:1060"
"OMIM:615873","DOID:0070058"
"OMIM:231100","DOID:2352"
"OMIM:235200","DOID:0111029"
"OMIM:602390","DOID:0111027"
"OMIM:613313","DOID:0111032"
"OMIM:604250","DOID:0111030"
"OMIM:606069","DOID:0111028"
"OMIM:306900","DOID:12259"
"OMIM:114550","DOID:684"
"OMIM:121300","DOID:13269"
"OMIM:130600","DOID:2373"
"OMIM:611804","DOID:2373"
"OMIM:187300","DOID:1270"
"OMIM:600376","DOID:1270"
"OMIM:615506","DOID:1270"
"OMIM:241530","DOID:0050947"
"OMIM:133700","DOID:206"
"OMIM:133701","DOID:206"
"OMIM:600209","DOID:206"
"OMIM:162500","DOID:0060843"
"OMIM:162830","DOID:0090120"
"OMIM:614653","DOID:0070151"
"OMIM:604360","DOID:0110764"
"OMIM:605280","DOID:0110766"
"OMIM:270700","DOID:0110768"
"OMIM:312920","DOID:0110773"
"OMIM:610250","DOID:0110782"
"OMIM:612319","DOID:0110786"
"OMIM:182601","DOID:0110792"
"OMIM:613647","DOID:0110800"
